"name","categery","doJOZc","Address","contact"
"VAIBHAV STEEL FURNITURE","Home goods store","","5QXJ+HRM","096047 97913"
"KK Enterprises (Project by Vishwakarma Steel)","Kitchen furniture store","","Sakkar Chowk, New Tilak Rd, near Bhaishree LPG pump","084839 30430"
"Shreeji Hardware","Hardware store","","·","094237 93350"
"Hitech Modular Kitchen and Furniture","Kitchen furniture store","","behind Reliance Petrol Pump","088301 99419"
"Shri Ram","Furniture store","","Shop No 311, Tilak Rd, near Raj Palace Hotel","098221 88666"
"Karan Home Decor {KD}","Wallpaper store","","Infront Anand Saree Center, Shop No 01 Kushtadham Road Sona Nagar Chowk","086984 56456"
"Sai Furniture","Furniture store","","4PQ5+HJ3",""
"Prathmesh Laminates","Plywood supplier","","·","096898 12121"
"Home Furnishing","Furniture accessories","","Rehmaniya complex, Ahmednagar - Aurangabad Rd","073500 74761"
"Foam & Fabric House","Upholstery shop","","Tapovan Rd, near Cottage Corner",""
"Sunshine Kitchen Gallery","Kitchen furniture store","","Vishnupriya, Shop No. G, 1/2, Kusthdham Rd","090289 69990"
"SAHIBA FURNITURE","Office furniture store","","4P5P+HMM, Solapur - Dhule National Hwy","0241 241 5781"
"STAR ENTERPRISES (Electronics And Furniture)","Furniture store","","Zm tower, Vasant Tekdi, APJ Abdul Kalam chowk, near City lawn","095884 74719"
"Mauli Plywood & Interiors","Furniture store","","Opp Tulsai Park Apartment, Near Citypride Hotel Juna Pimpalgav Malvi, Road","088883 62120"
"sagar furniture bholegon","Furniture store","","",""
"Sahani Paints & Sheela Decor","Paint store","","·","098220 97512"
"Tirupati Ply & Hardware","Furniture store","","New Tilak Rd, near Jalaram Traders","087884 36482"
"Shree Kalika Doors And Hardware","Furniture store","","Shop no 4, Manmad Rd, near Karale Health Club Nagar","080554 95549"
"Shri Vardhaman Plywood Centre","Furniture wholesaler","","Ahilyanagar - Daund Rd","098238 30895"
"Interior decorator choomantar","Furniture store","","24choomantar interiors, tapidas Lane","094052 30838"
"Arrivae Made By You (Modular Kitchen & Wardrobes)","Kitchen furniture store","","Opp. P N Gadgil, Sarjepura Rd, near Clai World",""
"Titan World - Savedi, Ahmednagar","Watch store","","Shop No 43/55, Meera Heights Nagar, Manmad Highway, opposite Harish Furniture","078258 93871"
"Swami Decor - पडदावाला","Window treatment store","","Kushtdhaam Road, Savedi, near Samarth Vidya Mandir","099604 44141"
"Pradip Tagad","Furniture accessories","","Tagadwasti Road",""
"Rohit Cushion Work","Sofa store","","Bagdpati Road, opposite Sitaram Sarda school","070577 26836"
"New Perfect Kitchen Decor","Kitchen furniture store","","Shop no.1, near Meraj masjid","077700 38383"
